algoritmo,np,workers,N,nH,rep,tiempo_us
FxT,4,3,768,4,14,395787
FxT,4,3,768,4,15,387087
FxT,4,3,768,4,16,395621
FxT,4,3,768,4,17,395536
FxT,4,3,768,4,18,405905
FxT,4,3,768,4,19,408652
FxT,4,3,768,4,20,397776
FxT,4,3,768,4,21,396482
FxT,4,3,768,4,22,392018
FxT,4,3,768,4,23,389359
FxT,4,3,768,4,24,420334
FxT,4,3,768,4,25,390142
FxT,4,3,768,4,26,397750
FxT,4,3,768,4,27,409989
FxT,4,3,768,4,28,397403
FxT,4,3,768,4,29,392268
FxT,4,3,768,4,30,404127
FxT,4,3,1536,1,1,3773241
FxT,4,3,1536,1,2,3736874
FxT,4,3,1536,1,3,3706077
FxT,4,3,1536,1,4,3764935
FxT,4,3,1536,1,5,3728548
FxT,4,3,1536,1,6,3735665
FxT,4,3,1536,1,7,3834045
FxT,4,3,1536,1,8,3694607
FxT,4,3,1536,1,9,3729152
FxT,4,3,1536,1,10,3740834
FxT,4,3,1536,1,11,3728855
FxT,4,3,1536,1,12,3676619
FxT,4,3,1536,1,13,3690022
FxT,4,3,1536,1,14,3766071
FxT,4,3,1536,1,15,3727435
FxT,4,3,1536,1,16,3763272
FxT,4,3,1536,1,17,3732654
FxT,4,3,1536,1,18,3740699
FxT,4,3,1536,1,19,3755111
FxT,4,3,1536,1,20,3778104
FxT,4,3,1536,1,21,3763059
FxT,4,3,1536,1,22,3705403
FxT,4,3,1536,1,23,3743319
FxT,4,3,1536,1,24,3669520
FxT,4,3,1536,1,25,3681609
FxT,4,3,1536,1,26,3685160
FxT,4,3,1536,1,27,3689931
FxT,4,3,1536,1,28,3756493
FxT,4,3,1536,1,29,3700380
FxT,4,3,1536,1,30,3713549
FxT,4,3,1536,2,1,3382192
FxT,4,3,1536,2,2,3483611
FxT,4,3,1536,2,3,3326084
FxT,4,3,1536,2,4,3385833
FxT,4,3,1536,2,5,3348652
FxT,4,3,1536,2,6,3520172
FxT,4,3,1536,2,7,3384475
FxT,4,3,1536,2,8,3340796
FxT,4,3,1536,2,9,3384715
FxT,4,3,1536,2,10,3429683
FxT,4,3,1536,2,11,3439283
FxT,4,3,1536,2,12,3407272
FxT,4,3,1536,2,13,3814393
FxT,4,3,1536,2,14,3399411
FxT,4,3,1536,2,15,3321504
FxT,4,3,1536,2,16,3428816
FxT,4,3,1536,2,17,3582077
FxT,4,3,1536,2,18,3376096
FxT,4,3,1536,2,19,3295448
FxT,4,3,1536,2,20,3380509
